date;exits;year;month;day;weekday;in_sample;exits_yesterday;exits_last_week;daily_roll;daily_ewma_fast;daily_ewma_slow;weekday_roll;weekday_ewma_fast;weekday_ewma_slow
2013-04-27;16764.0;2013;4;27;5;False;41774.0;17502.0;35430.2;41816.812237219725;41308.885438272606;17511.375;17463.321669537174;17205.456499292442
2013-04-28;12840.0;2013;4;28;6;False;16764.0;12595.0;33217.2;17956.991058915228;29036.442719136303;12050.5;12569.953631082886;12256.88801005455
2013-04-29;40285.0;2013;4;29;0;False;12840.0;40874.0;30635.6;13083.666240900726;20938.221359568153;41131.25;40715.507673920685;40193.854005350586
2013-04-30;41725.0;2013;4;30;1;False;40285.0;41512.0;30881.6;38989.698392423845;30611.610679784077;42303.5;41366.87840560123;41091.06445763874
2013-05-01;43916.0;2013;5;1;2;False;41725.0;41960.0;33303.9;41594.74754249638;36168.30533989204;43246.0;41826.27609871015;41707.663537178494
2013-05-02;42301.0;2013;5;2;3;False;43916.0;42710.0;36436.0;43805.464168690305;40042.15266994602;43398.0;42528.95052902421;42043.643757141326
2013-05-03;40486.0;2013;5;3;4;False;42301.0;41774.0;36578.7;42372.64115089001;41171.57633497301;42097.5;41595.62525388113;40680.989239431074
2013-05-04;14836.0;2013;5;4;5;False;40486.0;16764.0;36476.1;40575.840054804285;40828.788167486506;17191.125;16797.301031882722;16984.72824964622
2013-05-05;10130.0;2013;5;5;6;False;14836.0;12840.0;33763.7;16061.706669276396;27832.394083743253;12448.0;12827.140649099185;12548.444005027275
2013-05-06;36126.0;2013;5;6;0;False;10130.0;40285.0;30505.7;10412.462222346496;18981.197041871626;40297.0;40305.50036542479;40239.42700267529
2013-05-07;38074.0;2013;5;7;1;False;36126.0;41725.0;29940.9;34901.545820111736;27553.59852093581;41394.5;41707.94659074292;41408.03222881937
2013-05-08;37150.0;2013;5;8;2;False;38074.0;43916.0;32071.9;37922.93075333866;32813.7992604679;42226.25;43816.48933803382;42811.83176858925
2013-05-09;37784.0;2013;5;9;3;False;37150.0;42301.0;34502.9;37186.806226349465;34981.89963023395;41849.75;42311.85478709639;42172.32187857066
2013-05-10;38280.0;2013;5;10;4;False;37784.0;40486.0;34252.8;37755.56220125473;36382.949815116976;40491.5;40538.83929780386;40583.49461971554
2013-05-11;13476.0;2013;5;11;5;False;38280.0;14836.0;33908.3;38255.02677148832;37331.474907558484;16433.125;14929.395287232512;15910.36412482311
2013-05-12;8874.0;2013;5;12;6;False;13476.0;10130.0;30864.3;14655.95365578516;25403.737453779242;11906.25;10258.435269004724;11339.222002513638
2013-05-13;24324.0;2013;5;13;0;False;8874.0;36126.0;27521.6;9149.33112646596;17138.86872688962;38642.25;36325.02382692499;38182.71350133765
2013-05-14;28295.0;2013;5;14;1;False;24324.0;38074.0;25905.4;23601.396720307905;20731.43436344481;39872.0;38247.045075749666;39741.016114409686
2013-05-15;28105.0;2013;5;15;2;False;28295.0;37150.0;27251.3;28071.495081919424;24513.217181722404;40480.0;37467.45187323971;39980.91588429462
2013-05-16;28935.0;2013;5;16;3;False;28105.0;37784.0;29048.8;28103.40452771045;26309.1085908612;40362.75;37999.612132718874;39978.16093928533
