time;entries;exits;station
2010-07-19 08:00:00;3682.0;14774.0;FULTON ST
2010-07-19 12:00:00;5546.0;7243.0;FULTON ST
2010-07-19 16:00:00;15756.0;5221.0;FULTON ST
2010-07-19 20:00:00;11060.0;3148.0;FULTON ST
2010-07-20 00:00:00;1182.0;606.0;FULTON ST
2010-07-20 04:00:00;256.0;948.0;FULTON ST
2010-07-20 08:00:00;3838.0;15051.0;FULTON ST
2010-07-20 12:00:00;5394.0;7070.0;FULTON ST
2010-07-20 16:00:00;15996.0;4841.0;FULTON ST
2010-07-20 20:00:00;11008.0;2909.0;FULTON ST
2010-07-21 00:00:00;1427.0;835.0;FULTON ST
2010-07-21 04:00:00;284.0;956.0;FULTON ST
2010-07-21 08:00:00;4010.0;15750.0;FULTON ST
2010-07-21 12:00:00;6296.0;8049.0;FULTON ST
2010-07-21 16:00:00;16250.0;5363.0;FULTON ST
2010-07-21 20:00:00;11655.0;3687.0;FULTON ST
2010-07-22 00:00:00;1556.0;792.0;FULTON ST
2010-07-22 04:00:00;288.0;1004.0;FULTON ST
2010-07-22 08:00:00;3842.0;15696.0;FULTON ST
2010-07-22 12:00:00;6202.0;7806.0;FULTON ST
2010-07-22 16:00:00;16382.0;5516.0;FULTON ST
2010-07-22 20:00:00;12454.0;3866.0;FULTON ST
2010-07-23 00:00:00;1966.0;947.0;FULTON ST
2010-07-23 04:00:00;292.0;899.0;FULTON ST
2010-07-23 08:00:00;3577.0;14385.0;FULTON ST
2010-07-23 12:00:00;6611.0;7848.0;FULTON ST
2010-07-23 16:00:00;15823.0;5841.0;FULTON ST
2010-07-23 20:00:00;11647.0;3942.0;FULTON ST
2010-07-24 04:00:00;96.0;167.0;FULTON ST
2010-07-24 08:00:00;359.0;844.0;FULTON ST
2010-07-24 12:00:00;1150.0;1225.0;FULTON ST
2010-07-24 16:00:00;1895.0;1182.0;FULTON ST
2010-07-24 20:00:00;1490.0;821.0;FULTON ST
2010-07-25 00:00:00;685.0;307.0;FULTON ST
2010-07-25 04:00:00;104.0;62.0;FULTON ST
2010-07-25 08:00:00;251.0;601.0;FULTON ST
2010-07-25 12:00:00;883.0;954.0;FULTON ST
2010-07-25 16:00:00;1431.0;796.0;FULTON ST
2010-07-25 20:00:00;830.0;521.0;FULTON ST
2010-07-26 00:00:00;171.0;132.0;FULTON ST
2010-07-26 04:00:00;79.0;338.0;FULTON ST
2010-07-26 08:00:00;1037.0;3775.0;FULTON ST
2010-07-26 12:00:00;1800.0;2579.0;FULTON ST
2010-07-26 16:00:00;4671.0;1894.0;FULTON ST
2010-07-26 20:00:00;4349.0;1167.0;FULTON ST
2010-07-27 00:00:00;681.0;300.0;FULTON ST
2010-07-27 04:00:00;82.0;359.0;FULTON ST
2010-07-27 08:00:00;1117.0;3884.0;FULTON ST
2010-07-27 12:00:00;1953.0;2685.0;FULTON ST
2010-07-27 16:00:00;4920.0;1982.0;FULTON ST
2010-07-27 20:00:00;4603.0;1184.0;FULTON ST
2010-07-28 00:00:00;670.0;334.0;FULTON ST
2010-07-28 04:00:00;85.0;375.0;FULTON ST
2010-07-28 08:00:00;178.0;1233.0;FULTON ST
2010-07-28 12:00:00;540.0;1386.0;FULTON ST
2010-07-28 16:00:00;2160.0;964.0;FULTON ST
2010-07-28 20:00:00;4496.0;1270.0;FULTON ST
2010-07-29 00:00:00;680.0;352.0;FULTON ST
2010-07-29 04:00:00;77.0;357.0;FULTON ST
2010-07-29 08:00:00;1050.0;3882.0;FULTON ST
2010-07-29 12:00:00;1903.0;2608.0;FULTON ST
2010-07-29 16:00:00;4554.0;2049.0;FULTON ST
2010-07-29 20:00:00;4558.0;1216.0;FULTON ST
2010-07-30 00:00:00;735.0;375.0;FULTON ST
2010-07-30 04:00:00;99.0;339.0;FULTON ST
2010-07-30 08:00:00;1038.0;3686.0;FULTON ST
2010-07-30 12:00:00;2130.0;2545.0;FULTON ST
2010-07-30 16:00:00;4943.0;2243.0;FULTON ST
2010-07-30 20:00:00;4856.0;1638.0;FULTON ST
2010-07-31 04:00:00;366.0;279.0;FULTON ST
2010-07-31 08:00:00;957.0;1189.0;FULTON ST
2010-07-31 12:00:00;3442.0;2093.0;FULTON ST
2010-07-31 16:00:00;6568.0;2386.0;FULTON ST
2010-07-31 20:00:00;5719.0;1497.0;FULTON ST
2010-08-01 00:00:00;2039.0;607.0;FULTON ST
2010-08-01 04:00:00;275.0;156.0;FULTON ST
2010-08-01 08:00:00;705.0;778.0;FULTON ST
2010-08-01 12:00:00;2318.0;1584.0;FULTON ST
2010-08-01 16:00:00;4425.0;1640.0;FULTON ST
2010-08-01 20:00:00;3841.0;1092.0;FULTON ST
2010-08-02 00:00:00;961.0;409.0;FULTON ST
2010-08-02 04:00:00;184.0;539.0;FULTON ST
2010-08-02 08:00:00;3652.0;7990.0;FULTON ST
2010-08-02 12:00:00;5946.0;5632.0;FULTON ST
2010-08-02 16:00:00;13484.0;3847.0;FULTON ST
2010-08-02 20:00:00;16819.0;2501.0;FULTON ST
2010-08-03 00:00:00;2126.0;551.0;FULTON ST
2010-08-03 04:00:00;237.0;600.0;FULTON ST
2010-08-03 08:00:00;3775.0;8320.0;FULTON ST
2010-08-03 12:00:00;6419.0;5840.0;FULTON ST
2010-08-03 16:00:00;13875.0;4043.0;FULTON ST
2010-08-03 20:00:00;17154.0;2387.0;FULTON ST
2010-08-04 00:00:00;2218.0;587.0;FULTON ST
2010-08-04 04:00:00;225.0;593.0;FULTON ST
2010-08-04 08:00:00;3852.0;8202.0;FULTON ST
2010-08-04 12:00:00;6642.0;6047.0;FULTON ST
2010-08-04 16:00:00;13620.0;4106.0;FULTON ST
2010-08-04 20:00:00;17146.0;2645.0;FULTON ST
2010-08-05 00:00:00;2458.0;583.0;FULTON ST
2010-08-05 04:00:00;256.0;579.0;FULTON ST
2010-08-05 08:00:00;3714.0;8200.0;FULTON ST
2010-08-05 12:00:00;6397.0;5900.0;FULTON ST
2010-08-05 16:00:00;13764.0;4032.0;FULTON ST
2010-08-05 20:00:00;18049.0;2584.0;FULTON ST
2010-08-06 00:00:00;2669.0;727.0;FULTON ST
2010-08-06 04:00:00;245.0;559.0;FULTON ST
2010-08-06 08:00:00;3454.0;7685.0;FULTON ST
2010-08-06 12:00:00;6561.0;5927.0;FULTON ST
2010-08-06 16:00:00;15101.0;4468.0;FULTON ST
2010-08-06 20:00:00;16227.0;3310.0;FULTON ST
2010-08-07 04:00:00;24.0;107.0;FULTON ST
2010-08-07 08:00:00;30.0;301.0;FULTON ST
2010-08-07 12:00:00;65.0;1015.0;FULTON ST
2010-08-07 16:00:00;132.0;1428.0;FULTON ST
2010-08-07 20:00:00;136.0;1210.0;FULTON ST
2010-08-08 00:00:00;50.0;505.0;FULTON ST
2010-08-08 04:00:00;7.0;124.0;FULTON ST
2010-08-08 08:00:00;16.0;168.0;FULTON ST
2010-08-08 12:00:00;36.0;635.0;FULTON ST
2010-08-08 16:00:00;85.0;1113.0;FULTON ST
2010-08-08 20:00:00;104.0;861.0;FULTON ST
2010-08-09 00:00:00;61.0;390.0;FULTON ST
2010-08-09 04:00:00;33.0;272.0;FULTON ST
2010-08-09 08:00:00;1033.0;6809.0;FULTON ST
2010-08-09 12:00:00;1687.0;3545.0;FULTON ST
2010-08-09 16:00:00;5543.0;2203.0;FULTON ST
2010-08-09 20:00:00;4426.0;1320.0;FULTON ST
2010-08-10 00:00:00;456.0;397.0;FULTON ST
2010-08-10 04:00:00;62.0;298.0;FULTON ST
2010-08-10 08:00:00;1054.0;6625.0;FULTON ST
2010-08-10 12:00:00;1224.0;3092.0;FULTON ST
2010-08-10 16:00:00;4241.0;2171.0;FULTON ST
2010-08-10 20:00:00;4517.0;1400.0;FULTON ST
2010-08-11 00:00:00;449.0;444.0;FULTON ST
2010-08-11 04:00:00;67.0;292.0;FULTON ST
2010-08-11 08:00:00;1043.0;6616.0;FULTON ST
2010-08-11 12:00:00;1778.0;3704.0;FULTON ST
2010-08-11 16:00:00;3792.0;2142.0;FULTON ST
2010-08-11 20:00:00;4514.0;1465.0;FULTON ST
2010-08-12 00:00:00;490.0;469.0;FULTON ST
