index;year;month;day;weekday;exits;in_sample;Date;exits_yesterday;exits_last_week;target_daily_roll;target_daily_emov_fast;target_daily_emov_slow;target_daily_weekday_roll;target_daily_weekday_emov_fast;target_daily_weekday_emov_slow
56;2010;7;18;6;8589.0;True;2010-07-18 00:00:00;9833.0;2092.0;11222.95;9766.720724061657;8912.583313251056;7481.5;2453.3713026567816;5831.511811023622
57;2010;7;19;0;32264.0;True;2010-07-19 00:00:00;8589.0;8411.0;9137.85;8645.081939241032;8750.791656625528;17972.5;8539.620581619085;13569.070588235294
58;2010;7;20;1;31425.0;True;2010-07-20 00:00:00;32264.0;8008.0;9388.35;31139.289616154332;20507.395828312765;22658.25;8958.395695018127;18319.023529411767
59;2010;7;21;2;34640.0;True;2010-07-21 00:00:00;31425.0;3863.0;12192.9;31411.3947436264;25966.197914156382;21654.75;4975.944011083356;15893.407843137255
60;2010;7;22;3;34680.0;True;2010-07-22 00:00:00;34640.0;9020.0;15447.7;34486.25689255364;30303.09895707819;23357.25;10000.179666965827;19042.517647058823
61;2010;7;23;4;33862.0;True;2010-07-23 00:00:00;34680.0;8424.0;18074.6;34670.77413774065;32491.549478539095;22673.5;9443.090340256074;18568.337254901962
62;2010;7;24;5;6293.5;True;2010-07-24 00:00:00;33862.0;9833.0;20660.0;33900.513054178125;33176.774739269546;9789.875;9544.122214840925;8850.460784313726
63;2010;7;25;6;3241.0;True;2010-07-25 00:00:00;6293.5;8589.0;20903.05;7608.119669246579;19735.137369634773;7616.75;8296.827205042915;7215.6627450980395
64;2010;7;26;0;9885.0;True;2010-07-26 00:00:00;3241.0;32264.0;20325.15;3448.9580794879325;11488.068684817386;20789.25;31134.267646772212;22934.827788649705
65;2010;7;27;1;10394.0;True;2010-07-27 00:00:00;9885.0;31425.0;20471.25;9578.52181330895;10686.534342408693;25183.5;30355.161699789707;24884.835616438355
66;2010;7;28;2;5562.0;True;2010-07-28 00:00:00;10394.0;34640.0;20527.35;10355.167705395665;10540.267171204347;24825.5;33227.425905325246;25285.046966731898
67;2010;7;29;3;10464.0;True;2010-07-29 00:00:00;5562.0;34680.0;20224.65;5790.246081209318;8051.133585602173;26638.0;33504.770460361295;26876.559686888453
68;2010;7;30;4;10826.0;True;2010-07-30 00:00:00;10464.0;33862.0;18044.65;10241.440289581395;9257.566792801086;25916.5;32699.194778136713;26230.133072407047
69;2010;7;31;5;8402.5;True;2010-07-31 00:00:00;10826.0;6293.5;15984.75;10798.163823313398;10041.783396400544;7716.0;6448.291534036147;7569.478473581214
70;2010;8;1;6;5857.0;True;2010-08-01 00:00:00;8402.5;3241.0;13361.0;8516.57922968159;9222.141698200272;5896.25;3481.753676424553;5224.442270058708
71;2010;8;2;0;20918.0;True;2010-08-02 00:00:00;5857.0;9885.0;10478.7;5983.646629984838;7539.570849100136;15158.25;10896.869887940322;16403.53567937439
72;2010;8;3;1;21741.0;True;2010-08-03 00:00:00;20918.0;10394.0;9184.3;20206.84031571356;14228.785424550068;19384.75;11344.531509512657;17632.335288367547
73;2010;8;4;2;22180.0;True;2010-08-04 00:00:00;21741.0;5562.0;10729.05;21667.944776938744;17984.892712275032;17748.75;6879.401233585338;15413.88367546432
74;2010;8;5;3;21878.0;True;2010-08-05 00:00:00;22180.0;10464.0;12622.95;22155.616417949463;20082.446356137516;20901.0;11561.179545730176;18662.25806451613
75;2010;8;6;4;22676.0;True;2010-08-06 00:00:00;21878.0;10826.0;13822.25;21891.21982942616;20980.223178068758;20717.75;11867.580703719546;18520.537634408603
76;2010;8;7;5;5769.5;True;2010-08-07 00:00:00;22676.0;8402.5;15050.45;22638.62951568696;21828.11158903438;6977.125;8309.442454001834;7986.396383186706
77;2010;8;8;6;3406.0;True;2010-08-08 00:00:00;5769.5;5857.0;15071.2;6572.791881699381;13798.80579451719;4944.75;5743.893032210829;5541.030303030303
78;2010;8;9;0;14539.0;True;2010-08-09 00:00:00;3406.0;20918.0;14365.4;3556.799613414257;8602.402897258595;17869.5;20440.803327997182;18661.870542256962
79;2010;8;10;1;13983.0;True;2010-08-10 00:00:00;14539.0;21741.0;14736.7;14016.03807682925;11570.701448629297;17892.0;21245.930071881587;19687.67122618466
80;2010;8;11;2;14663.0;True;2010-08-11 00:00:00;13983.0;22180.0;15294.75;13984.573241753775;12776.850724314649;16561.25;21451.4000587422;18798.594528578407
81;2010;8;12;3;14780.0;True;2010-08-12 00:00:00;14663.0;21878.0;16175.35;14630.693963893038;13719.925362157324;19010.5;21386.722835510987;20270.914509037615
82;2010;8;13;4;14938.0;True;2010-08-13 00:00:00;14780.0;22676.0;15561.55;14772.890188756812;14249.962681078661;18947.0;22161.313366843817;20599.283829995115
83;2010;8;14;5;3494.5;True;2010-08-14 00:00:00;14938.0;5769.5;14881.25;14930.137628036038;14593.98134053933;7574.625;5890.449640666748;6877.406692721055
84;2010;8;15;6;1850.0;True;2010-08-15 00:00:00;3494.5;3406.0;13012.7;4039.054172763622;9044.240670269664;5273.25;3517.328239629081;4472.993649242794
85;2010;8;16;0;7900.0;True;2010-08-16 00:00:00;1850.0;14539.0;11009.9;1954.240674893506;5447.120335134832;19401.5;14820.03825371415;16599.93186813187
86;2010;8;17;1;7721.0;True;2010-08-17 00:00:00;7900.0;13983.0;9532.3;7616.868603566357;6673.560167567416;19385.75;14328.853812946742;16834.639072039074
87;2010;8;18;2;8399.0;True;2010-08-18 00:00:00;7721.0;14663.0;9727.45;7716.0413620745885;7197.280083783708;19261.25;14986.25714565439;16730.292307692307
88;2010;8;19;3;8176.0;True;2010-08-19 00:00:00;8399.0;14780.0;10226.75;8366.47816009879;7798.140041891854;20450.5;15094.605849310046;17524.786813186813
89;2010;8;20;4;8091.0;True;2010-08-20 00:00:00;8176.0;14938.0;9590.45;8185.070388576132;7987.070020945926;20575.5;15281.967303183039;17767.950671550672
90;2010;8;21;5;9093.0;True;2010-08-21 00:00:00;8091.0;3494.5;9001.25;8095.479542313149;8039.035010472963;5990.0;3608.59284003175;5185.540293040293
91;2010;8;22;6;6903.0;True;2010-08-22 00:00:00;9093.0;1850.0;8444.25;9045.499025824436;8566.017505236481;3588.5;1929.3965828394798;3161.176556776557
92;2010;8;23;0;17513.0;True;2010-08-23 00:00:00;6903.0;7900.0;7656.55;7005.023763134497;7734.508752618241;13310.5;8229.525631129245;12249.43486753754
93;2010;8;24;1;18635.0;True;2010-08-24 00:00:00;17513.0;7721.0;7914.05;17012.62017919688;12623.75437630912;13459.75;8035.659705378417;12277.263215724575
94;2010;8;25;2;17850.0;True;2010-08-25 00:00:00;18635.0;8399.0;9428.1;18557.743818056995;15629.37718815456;12701.0;8712.678911697829;12564.137590037846
95;2010;8;26;3;18797.0;True;2010-08-26 00:00:00;17850.0;8176.0;11028.1;17883.702086574143;16739.68859407728;13824.5;8505.457421395717;12849.822732267123
96;2010;8;27;4;18838.0;True;2010-08-27 00:00:00;18797.0;8091.0;12117.8;18753.509623170197;17768.34429703864;14132.75;8433.427014437288;12928.884629471371
97;2010;8;28;5;5775.5;True;2010-08-28 00:00:00;18838.0;9093.0;13229.5;18833.976648722393;18303.17214851932;6689.875;8831.837754287226;7139.508668050299
98;2010;8;29;6;3667.0;True;2010-08-29 00:00:00;5775.5;6903.0;12967.15;6397.332221367734;12039.33607425966;4504.0;6666.161742039974;5032.3166890489565
99;2010;8;30;0;11056.0;True;2010-08-30 00:00:00;3667.0;17513.0;12516.25;3797.0158200651304;7853.16803712983;15217.5;17070.929791958537;14881.378074833669
100;2010;8;31;1;11296.0;True;2010-08-31 00:00:00;11056.0;18635.0;12812.75;10710.334086669767;9454.584018564914;15520.0;18130.269509779922;15456.32564243423
101;2010;9;1;2;10475.0;True;2010-09-01 00:00:00;11296.0;17850.0;13033.05;11268.111146984274;10375.292009282457;15773.0;17414.88947198561;15207.230116584264
102;2010;9;2;3;11582.0;True;2010-09-02 00:00:00;10475.0;18797.0;13390.25;10512.767197475441;10425.146004641229;15907.75;18306.926543875983;15823.59287065861
103;2010;9;3;4;10921.0;True;2010-09-03 00:00:00;11582.0;18838.0;12797.15;11531.084152260735;11003.573002320614;16135.75;18342.544143544634;15883.622657632912
104;2010;9;4;5;11588.0;True;2010-09-04 00:00:00;10921.0;5775.5;12025.75;10950.05162629813;10962.286501160306;6033.125;5921.039893061296;6457.46270524324
105;2010;9;5;6;10070.0;True;2010-09-05 00:00:00;11588.0;3667.0;11399.55;11557.621506014197;11275.143250580153;3956.5;3809.8172258114278;4349.616675822499
106;2010;9;6;0;10848.0;True;2010-09-06 00:00:00;10070.0;11056.0;10526.85;10140.83911933401;10672.571625290077;12752.0;11342.425228188502;12968.630664998322
107;2010;9;7;1;31439.0;True;2010-09-07 00:00:00;10848.0;11296.0;9727.85;10814.325672349238;10760.285812645037;12908.75;11621.441405227615;13376.099337748345
108;2010;9;8;2;32826.0;True;2010-09-08 00:00:00;31439.0;10475.0;12294.2;30456.87265106425;21099.64290632252;12846.75;10805.47092723741;12841.042847987304
109;2010;9;9;3;30807.0;True;2010-09-09 00:00:00;32826.0;11582.0;15210.1;32713.18441195544;26962.82145316126;13333.75;11902.234597327428;13702.731711783197
110;2010;9;10;4;31586.0;True;2010-09-10 00:00:00;30807.0;10921.0;17185.2;30897.770686283595;28884.91072658063;13197.0;11274.406863978316;13402.235602893155
111;2010;9;11;5;19616.0;True;2010-09-11 00:00:00;31586.0;11588.0;19214.2;31553.227175537315;30235.455363290315;7487.75;11318.144756812442;9022.809640797144
112;2010;9;12;6;10093.0;True;2010-09-12 00:00:00;19616.0;10070.0;20128.3;20184.4393893113;24925.727681645156;5622.5;9771.896058371973;7209.895626697592
113;2010;9;13;0;25755.0;True;2010-09-13 00:00:00;10093.0;10848.0;19979.4;10573.544732824348;17509.363840822578;11829.25;10871.544058485166;11908.299153124284
114;2010;9;14;1;26890.0;True;2010-09-14 00:00:00;25755.0;31439.0;21462.8;25032.07355870592;21632.18192041129;17272.75;30495.306733582267;22407.687479972534
115;2010;9;15;2;25837.0;True;2010-09-15 00:00:00;26890.0;32826.0;22993.0;26801.52731231933;24261.090960205645;17387.5;31777.403377487495;22833.673899443045
