time;in_sample;exits;annotation
2010-06-15 12:00:00;True;8443.0;FULTON ST
2010-06-15 16:00:00;True;10299.0;FULTON ST
2010-06-15 20:00:00;True;6525.0;FULTON ST
2010-06-16 00:00:00;True;1236.0;FULTON ST
2010-06-16 04:00:00;True;1022.0;FULTON ST
2010-06-16 08:00:00;True;16303.0;FULTON ST
2010-06-16 12:00:00;True;7970.0;FULTON ST
2010-06-16 16:00:00;True;5587.0;FULTON ST
2010-06-16 20:00:00;True;3780.0;FULTON ST
2010-06-17 00:00:00;True;1187.0;FULTON ST
2010-06-17 04:00:00;True;1005.0;FULTON ST
2010-06-17 08:00:00;True;16540.0;FULTON ST
2010-06-17 12:00:00;True;7993.0;FULTON ST
2010-06-17 16:00:00;True;5755.0;FULTON ST
2010-06-17 20:00:00;True;3979.0;FULTON ST
2010-06-18 00:00:00;True;1396.0;FULTON ST
2010-06-18 04:00:00;True;991.0;FULTON ST
2010-06-18 08:00:00;True;15578.0;FULTON ST
2010-06-18 12:00:00;True;9806.0;FULTON ST
2010-06-18 16:00:00;True;4585.0;FULTON ST
2010-06-18 20:00:00;True;3915.0;FULTON ST
2010-06-19 00:00:00;True;2174.5;FULTON ST interpolated
2010-06-19 04:00:00;True;434.0;FULTON ST
2010-06-19 08:00:00;True;1131.0;FULTON ST
2010-06-19 12:00:00;True;2675.0;FULTON ST
2010-06-19 16:00:00;True;3606.0;FULTON ST
2010-06-19 20:00:00;True;2698.0;FULTON ST
2010-06-20 00:00:00;True;1293.0;FULTON ST
2010-06-20 04:00:00;True;297.0;FULTON ST
2010-06-20 08:00:00;True;559.0;FULTON ST
2010-06-20 12:00:00;True;1780.0;FULTON ST
2010-06-20 16:00:00;True;2654.0;FULTON ST
2010-06-20 20:00:00;True;1465.0;FULTON ST
2010-06-21 00:00:00;True;498.0;FULTON ST
2010-06-21 04:00:00;True;186.0;FULTON ST
2010-06-21 08:00:00;True;8226.0;FULTON ST
2010-06-21 12:00:00;True;5553.0;FULTON ST
2010-06-21 16:00:00;True;3575.0;FULTON ST
2010-06-21 20:00:00;True;2959.0;FULTON ST
2010-06-22 00:00:00;True;841.0;FULTON ST
2010-06-22 04:00:00;True;197.0;FULTON ST
2010-06-22 08:00:00;True;8336.0;FULTON ST
2010-06-22 12:00:00;True;5800.0;FULTON ST
2010-06-22 16:00:00;True;3282.0;FULTON ST
2010-06-22 20:00:00;True;2868.0;FULTON ST
2010-06-23 00:00:00;True;806.0;FULTON ST
2010-06-23 04:00:00;True;252.0;FULTON ST
2010-06-23 08:00:00;True;8395.0;FULTON ST
2010-06-23 12:00:00;True;5641.0;FULTON ST
2010-06-23 16:00:00;True;3692.0;FULTON ST
2010-06-23 20:00:00;True;3171.0;FULTON ST
2010-06-24 00:00:00;True;864.0;FULTON ST
2010-06-24 04:00:00;True;335.0;FULTON ST
2010-06-24 08:00:00;True;8007.0;FULTON ST
2010-06-24 12:00:00;True;5847.0;FULTON ST
2010-06-24 16:00:00;True;3158.0;FULTON ST
2010-06-24 20:00:00;True;3346.0;FULTON ST
2010-06-25 00:00:00;True;1041.0;FULTON ST
2010-06-25 04:00:00;True;343.0;FULTON ST
2010-06-25 08:00:00;True;7251.0;FULTON ST
2010-06-25 12:00:00;True;5369.0;FULTON ST
2010-06-25 16:00:00;True;3814.0;FULTON ST
2010-06-25 20:00:00;True;3072.0;FULTON ST
2010-06-26 00:00:00;True;1733.0;FULTON ST interpolated
2010-06-26 04:00:00;True;394.0;FULTON ST
2010-06-26 08:00:00;True;1771.0;FULTON ST
2010-06-26 12:00:00;True;3396.0;FULTON ST
2010-06-26 16:00:00;True;4032.0;FULTON ST
2010-06-26 20:00:00;True;3263.0;FULTON ST
2010-06-27 00:00:00;True;1190.0;FULTON ST
2010-06-27 04:00:00;True;296.0;FULTON ST
2010-06-27 08:00:00;True;1253.0;FULTON ST
2010-06-27 12:00:00;True;2776.0;FULTON ST
2010-06-27 16:00:00;True;2932.0;FULTON ST
2010-06-27 20:00:00;True;1676.0;FULTON ST
2010-06-28 00:00:00;True;557.0;FULTON ST
2010-06-28 04:00:00;True;828.0;FULTON ST
2010-06-28 08:00:00;True;14587.0;FULTON ST
2010-06-28 12:00:00;True;8042.0;FULTON ST
2010-06-28 16:00:00;True;5045.0;FULTON ST
2010-06-28 20:00:00;True;3350.0;FULTON ST
2010-06-29 00:00:00;True;725.0;FULTON ST
2010-06-29 04:00:00;True;863.0;FULTON ST
2010-06-29 08:00:00;True;13557.0;FULTON ST
2010-06-29 12:00:00;True;9343.0;FULTON ST
2010-06-29 16:00:00;True;5461.0;FULTON ST
2010-06-29 20:00:00;True;3640.0;FULTON ST
2010-06-30 00:00:00;True;839.0;FULTON ST
2010-06-30 04:00:00;True;920.0;FULTON ST
2010-06-30 08:00:00;True;14287.0;FULTON ST
2010-06-30 12:00:00;True;8052.0;FULTON ST
2010-06-30 16:00:00;True;5664.0;FULTON ST
2010-06-30 20:00:00;True;4107.0;FULTON ST
2010-07-01 00:00:00;True;910.0;FULTON ST
2010-07-01 04:00:00;True;823.0;FULTON ST
2010-07-01 08:00:00;True;13876.0;FULTON ST
2010-07-01 12:00:00;True;8491.0;FULTON ST
2010-07-01 16:00:00;True;5543.0;FULTON ST
2010-07-01 20:00:00;True;3769.0;FULTON ST
2010-07-02 00:00:00;True;847.0;FULTON ST
2010-07-02 04:00:00;True;773.0;FULTON ST
2010-07-02 08:00:00;True;12135.0;FULTON ST
2010-07-02 12:00:00;True;7674.0;FULTON ST
2010-07-02 16:00:00;True;6369.0;FULTON ST
2010-07-02 20:00:00;True;3823.0;FULTON ST
2010-07-03 00:00:00;True;2043.0;FULTON ST interpolated
2010-07-03 04:00:00;True;263.0;FULTON ST
2010-07-03 08:00:00;True;1350.0;FULTON ST
2010-07-03 12:00:00;True;2639.0;FULTON ST
2010-07-03 16:00:00;True;2864.0;FULTON ST
2010-07-03 20:00:00;True;2199.0;FULTON ST
2010-07-04 00:00:00;True;762.0;FULTON ST
2010-07-04 04:00:00;True;195.0;FULTON ST
2010-07-04 08:00:00;True;868.0;FULTON ST
2010-07-04 12:00:00;True;2288.0;FULTON ST
2010-07-04 16:00:00;True;3136.0;FULTON ST
2010-07-04 20:00:00;True;2414.0;FULTON ST
2010-07-05 00:00:00;True;1142.0;FULTON ST
2010-07-05 04:00:00;True;260.0;FULTON ST
2010-07-05 08:00:00;True;1479.0;FULTON ST
2010-07-05 12:00:00;True;2483.0;FULTON ST
2010-07-05 16:00:00;True;2852.0;FULTON ST
2010-07-05 20:00:00;True;1857.0;FULTON ST
2010-07-06 00:00:00;True;514.0;FULTON ST
2010-07-06 04:00:00;True;737.0;FULTON ST
2010-07-06 08:00:00;True;12322.0;FULTON ST
2010-07-06 12:00:00;True;6696.0;FULTON ST
2010-07-06 16:00:00;True;4359.0;FULTON ST
2010-07-06 20:00:00;True;3084.0;FULTON ST
2010-07-07 00:00:00;True;563.0;FULTON ST
2010-07-07 04:00:00;True;739.0;FULTON ST
2010-07-07 08:00:00;True;11631.0;FULTON ST
2010-07-07 12:00:00;True;6469.0;FULTON ST
2010-07-07 16:00:00;True;4518.0;FULTON ST
2010-07-07 20:00:00;True;3010.0;FULTON ST
2010-07-08 00:00:00;True;636.0;FULTON ST
2010-07-08 04:00:00;True;704.0;FULTON ST
2010-07-08 08:00:00;True;12435.0;FULTON ST
2010-07-08 12:00:00;True;7182.0;FULTON ST
2010-07-08 16:00:00;True;5165.0;FULTON ST
2010-07-08 20:00:00;True;3318.0;FULTON ST
2010-07-09 00:00:00;True;681.0;FULTON ST
2010-07-09 04:00:00;True;773.0;FULTON ST
2010-07-09 08:00:00;True;12099.0;FULTON ST
2010-07-09 12:00:00;True;7238.0;FULTON ST
2010-07-09 16:00:00;True;5444.0;FULTON ST
2010-07-09 20:00:00;True;3524.0;FULTON ST
2010-07-10 00:00:00;True;1782.5;FULTON ST interpolated
2010-07-10 04:00:00;True;41.0;FULTON ST
2010-07-10 08:00:00;True;210.0;FULTON ST
2010-07-10 12:00:00;True;399.0;FULTON ST
2010-07-10 16:00:00;True;443.0;FULTON ST
2010-07-10 20:00:00;True;504.0;FULTON ST
2010-07-11 00:00:00;True;207.0;FULTON ST
2010-07-11 04:00:00;True;29.0;FULTON ST
2010-07-11 08:00:00;True;169.0;FULTON ST
2010-07-11 12:00:00;True;545.0;FULTON ST
2010-07-11 16:00:00;True;701.0;FULTON ST
2010-07-11 20:00:00;True;441.0;FULTON ST
2010-07-12 00:00:00;True;120.0;FULTON ST
2010-07-12 04:00:00;True;396.0;FULTON ST
2010-07-12 08:00:00;True;5274.0;FULTON ST
2010-07-12 12:00:00;True;1278.0;FULTON ST
2010-07-12 16:00:00;True;825.0;FULTON ST
2010-07-12 20:00:00;True;518.0;FULTON ST
2010-07-13 00:00:00;True;86.0;FULTON ST
2010-07-13 04:00:00;True;426.0;FULTON ST
2010-07-13 08:00:00;True;5220.0;FULTON ST
2010-07-13 12:00:00;True;1233.0;FULTON ST
2010-07-13 16:00:00;True;582.0;FULTON ST
2010-07-13 20:00:00;True;461.0;FULTON ST
2010-07-14 00:00:00;True;107.0;FULTON ST
2010-07-14 04:00:00;True;408.0;FULTON ST
2010-07-14 08:00:00;True;1519.0;FULTON ST
2010-07-14 12:00:00;True;439.0;FULTON ST
2010-07-14 16:00:00;True;928.0;FULTON ST
2010-07-14 20:00:00;True;462.0;FULTON ST
2010-07-15 00:00:00;True;147.0;FULTON ST
2010-07-15 04:00:00;True;375.0;FULTON ST
2010-07-15 08:00:00;True;5507.0;FULTON ST
2010-07-15 12:00:00;True;1429.0;FULTON ST
2010-07-15 16:00:00;True;983.0;FULTON ST
2010-07-15 20:00:00;True;579.0;FULTON ST
2010-07-16 00:00:00;True;152.0;FULTON ST
2010-07-16 04:00:00;True;968.0;FULTON ST
2010-07-16 08:00:00;True;4291.0;FULTON ST
2010-07-16 12:00:00;True;1388.0;FULTON ST
2010-07-16 16:00:00;True;1037.0;FULTON ST
2010-07-16 20:00:00;True;588.0;FULTON ST
2010-07-17 00:00:00;True;437.0;FULTON ST interpolated
2010-07-17 04:00:00;True;286.0;FULTON ST
2010-07-17 08:00:00;True;1742.0;FULTON ST
2010-07-17 12:00:00;True;2488.0;FULTON ST
2010-07-17 16:00:00;True;2739.0;FULTON ST
2010-07-17 20:00:00;True;2141.0;FULTON ST
2010-07-18 00:00:00;True;811.0;FULTON ST
2010-07-18 04:00:00;True;189.0;FULTON ST
2010-07-18 08:00:00;True;1091.0;FULTON ST
2010-07-18 12:00:00;True;2202.0;FULTON ST
2010-07-18 16:00:00;True;2640.0;FULTON ST
2010-07-18 20:00:00;True;1656.0;FULTON ST
2010-07-19 00:00:00;True;470.0;FULTON ST
2010-07-19 04:00:00;True;1408.0;FULTON ST
2010-07-19 08:00:00;True;14774.0;FULTON ST
2010-07-19 12:00:00;True;7243.0;FULTON ST
2010-07-19 16:00:00;True;5221.0;FULTON ST
2010-07-19 20:00:00;True;3148.0;FULTON ST
2010-07-20 00:00:00;True;606.0;FULTON ST
2010-07-20 04:00:00;True;948.0;FULTON ST
2010-07-20 08:00:00;True;15051.0;FULTON ST
2010-07-20 12:00:00;True;7070.0;FULTON ST
2010-07-20 16:00:00;True;4841.0;FULTON ST
2010-07-20 20:00:00;True;2909.0;FULTON ST
2010-07-21 00:00:00;True;835.0;FULTON ST
2010-07-21 04:00:00;True;956.0;FULTON ST
2010-07-21 08:00:00;True;15750.0;FULTON ST
2010-07-21 12:00:00;True;8049.0;FULTON ST
2010-07-21 16:00:00;True;5363.0;FULTON ST
2010-07-21 20:00:00;True;3687.0;FULTON ST
2010-07-22 00:00:00;True;792.0;FULTON ST
2010-07-22 04:00:00;True;1004.0;FULTON ST
2010-07-22 08:00:00;True;15696.0;FULTON ST
2010-07-22 12:00:00;True;7806.0;FULTON ST
2010-07-22 16:00:00;True;5516.0;FULTON ST
2010-07-22 20:00:00;True;3866.0;FULTON ST
2010-07-23 00:00:00;True;947.0;FULTON ST
2010-07-23 04:00:00;True;899.0;FULTON ST
2010-07-23 08:00:00;True;14385.0;FULTON ST
2010-07-23 12:00:00;True;7848.0;FULTON ST
2010-07-23 16:00:00;True;5841.0;FULTON ST
2010-07-23 20:00:00;True;3942.0;FULTON ST
2010-07-24 00:00:00;True;2054.5;FULTON ST interpolated
2010-07-24 04:00:00;True;167.0;FULTON ST
